chrom	start	end	length	chrom_	start_	end_	gene_name_	strand_	gene_len_	distance
chr1	4774336	4776623	2287	chr1	4775770	4775870	Mrpl15	-	12533	0
chr1	7077974	7079799	1825	chr1	7078951	7079051	Pcmtd1	+	84706	0
chr1	7386778	7389174	2396	chr1	7387832	7387932	Gm16899	-	48395	0
chr1	9534577	9536304	1727	chr1	9535439	9535539	Rrs1	+	2046	0
chr1	9689154	9691474	2320	chr1	9690240	9690340	Mybl1	-	32794	0
chr1	9737663	9739398	1735	chr1	9738413	9738513	Vcpip1	-	29760	0
chr1	10027389	10028594	1205	chr1	10028158	10028258	Cops5	-	13525	0
chr1	13649641	13650871	1230	chr1	13650577	13650677	Lactb2	-	35701	0
chr1	14298865	14300657	1792	chr1	14300231	14300331	Eya1	-	141246	0
chr1	16508476	16510478	2002	chr1	16510143	16510243	Stau2	-	291438	0
chr1	16646222	16647328	1106	chr1	16646896	16646996	Tceb1	-	14099	0
chr1	16654903	16656263	1360	chr1	16655238	16655338	Tmem70	+	13068	0
chr1	16677501	16679144	1643	chr1	16678487	16678587	Ly96	+	21149	0
chr1	20809513	20811328	1815	chr1	20810309	20810409	Mcm3	-	17304	0
chr1	20880209	20881910	1701	chr1	20880504	20880604	6720483E21Rik	-	1823	0
chr1	20941363	20942535	1172	chr1	20941657	20941757	Efhc1	+	39212	0
chr1	21068487	21070243	1756	chr1	21069260	21069360	Tram2	-	82933	0
chr1	21208272	21209331	1059	chr1	21208606	21208706	Tmem14a	+	11592	0
chr1	23389154	23390306	1152	chr1	23389964	23390064	Ogfrl1	-	16751	0
chr1	23928355	23930016	1661	chr1	23929106	23929206	Smap1	-	77471	0
chr1	24011757	24012864	1107	chr1	24012445	24012545	1110058L19Rik	-	9717	0
chr1	24106350	24108071	1721	chr1	24107130	24107230	Fam135a	-	89583	0
chr1	30929615	30930959	1344	chr1	30930489	30930589	Phf3	-	71352	0
chr1	33725958	33727541	1583	chr1	33726581	33726681	Prim2	-	215975	0
chr1	34495932	34497520	1588	chr1	34496467	34496567	Ccdc115	-	3001	0
chr1	34515938	34517519	1581	chr1	34516541	34516641	Ptpn18	+	15908	0
chr1	34906381	34907433	1052	chr1	34906754	34906854	Plekhb2	+	29621	0
chr1	36124403	36126665	2262	chr1	36125195	36125295	Hs6st1	+	38046	0
chr1	36300297	36301863	1566	chr1	36301100	36301200	Uggt1	-	102775	0
chr1	36501316	36502451	1135	chr1	36502066	36502166	Lman2l	-	23206	0
chr1	36527594	36529296	1702	chr1	36528392	36528492	Cnnm4	+	37179	0
chr1	36567943	36569432	1489	chr1	36568662	36568762	Cnnm3	+	16370	0
chr1	36603174	36604352	1178	chr1	36603996	36604096	Ankrd39	-	9028	0
chr1	36747464	36749264	1800	chr1	36748282	36748382	Cox5b	+	1898	0
chr1	36995757	36997124	1367	chr1	36996322	36996422	Tmem131	-	147336	0
chr1	37355863	37357516	1653	chr1	37356660	37356760	Inpp4a	+	110871	0
chr1	37486171	37487707	1536	chr1	37486898	37486998	6330578E17Rik	-	13019	0
chr1	37542728	37546434	3706	chr1	37545777	37545877	4930594C11Rik	-	1789	0
chr1	37597146	37598705	1559	chr1	37597811	37597911	Mgat4a	-	101676	0
chr1	37920746	37922864	2118	chr1	37922093	37922193	Tsga10	-	110726	0
chr1	37928249	37930096	1847	chr1	37928533	37928633	Lipt1	+	5649	0
chr1	37946538	37947641	1103	chr1	37947206	37947306	Mitd1	-	15610	0
chr1	38053447	38054470	1023	chr1	38054141	38054241	Txndc9	-	13479	0
chr1	38185665	38186868	1203	chr1	38186457	38186557	Rev1	-	76875	0
chr1	38720260	38721733	1473	chr1	38721750	38721850	Aff3	-	487629	17
chr1	38954133	38955889	1756	chr1	38954955	38955055	Chst10	-	34283	0
chr1	39043775	39045751	1976	chr1	39044609	39044709	Pdcl3	+	9422	0
chr1	39423697	39425679	1982	chr1	39424646	39424746	Rpl31	+	4057	0
chr1	39534919	39535919	1000	chr1	39535542	39535642	Tbc1d8	-	107248	0
chr1	39591575	39593634	2059	chr1	39591787	39591887	D1Bwg0212e	+	11889	0
chr1	40140605	40145232	4627	chr1	40142648	40142748	Gm16894	-	9625	0
chr1	40381245	40382245	1000	chr1	40381422	40381522	Il1rl2	+	40844	0
chr1	40846918	40848281	1363	chr1	40847482	40847582	Mfsd9	-	18649	0
chr1	42907188	42908843	1655	chr1	42908028	42908128	Mrps9	+	54449	0
chr1	43009419	43010419	1000	chr1	43009669	43009769	Gpr45	+	2273	0
chr1	43153843	43156274	2431	chr1	43155417	43155517	Tgfbrap1	-	51353	0
chr1	43502237	43504309	2072	chr1	43502546	43502646	Nck2	+	124764	0
chr1	43883726	43885621	1895	chr1	43884595	43884695	Uxs1	-	80834	0
chr1	43989551	43991618	2067	chr1	43990797	43990897	Tpp2	+	68997	0
chr1	44157773	44160544	2771	chr1	44159236	44159336	1700029F09Rik	-	15828	0
chr1	44174518	44175941	1423	chr1	44175603	44175703	Kdelc1	-	27345	0
chr1	45851585	45852985	1400	chr1	45851961	45852061	Wdr75	+	28453	0
chr1	46909489	46911944	2455	chr1	46910841	46910941	Slc39a10	-	46502	0
chr1	51534226	51538167	3941	chr1	51535193	51535293	Obfc2a	-	8901	0
chr1	52175525	52179889	4364	chr1	52176232	52176332	Stat1	+	42422	0
chr1	52556284	52557586	1302	chr1	52557473	52557573	Nab1	-	43385	0
chr1	52687188	52688285	1097	chr1	52687499	52687599	Tmem194b	+	21214	0
chr1	52783205	52784485	1280	chr1	52784256	52784356	Mfsd6	-	71176	0
chr1	52872542	52874772	2230	chr1	52874482	52874582	Inpp1	-	28275	0
chr1	52900861	52902668	1807	chr1	52901807	52901907	Hibch	+	75973	0
chr1	53407993	53409942	1949	chr1	53409546	53409646	Asnsd1	-	27245	0
chr1	53841087	53843912	2825	chr1	53842018	53842118	Stk17b	-	29718	0
chr1	54251029	54252061	1032	chr1	54251962	54252062	Hecw2	-	388286	0
chr1	54495069	54496115	1046	chr1	54495765	54495865	Gtf3c3	-	41390	0
chr1	54613420	54615297	1877	chr1	54614476	54614576	Pgap1	-	76976	0
chr1	54982224	54983506	1282	chr1	54983181	54983281	Ankrd44	-	281047	0
chr1	55082671	55084562	1891	chr1	55084272	55084372	Sf3b1	-	42309	0
chr1	55108732	55110421	1689	chr1	55109564	55109664	Coq10b	+	19931	0
chr1	55140791	55145920	5129	chr1	55145037	55145137	Hspd1	-	10408	0
chr1	55187749	55188832	1083	chr1	55188025	55188125	Mob4	+	23668	0
chr1	55281166	55284637	3471	chr1	55283576	55283676	Rftn2	-	56623	0
chr1	55293147	55294996	1849	chr1	55293971	55294071	Mars2	+	2881	0
chr1	55419915	55420978	1063	chr1	55420263	55420363	Boll	-	114811	0
chr1	57434111	57435224	1113	chr1	57434298	57434398	4930558J18Rik	-	18282	0
chr1	57462883	57464242	1359	chr1	57463895	57463995	1110034B05Rik	-	18864	0
chr1	58085937	58086937	1000	chr1	58086725	58086825	Aox1	+	76482	0
chr1	58449236	58450284	1048	chr1	58449930	58450030	Bzw1	+	13412	0
chr1	58501516	58503189	1673	chr1	58502280	58502380	Ppil3	-	14492	0
chr1	58560665	58563504	2839	chr1	58561903	58562003	Orc2	-	42338	0
chr1	58641906	58643884	1978	chr1	58643117	58643217	Fam126b	-	63517	0
chr1	58767590	58769008	1418	chr1	58768302	58768402	Cflar	+	47376	0
chr1	58852252	58857773	5521	chr1	58852168	58852268	Casp8	+	52129	0
chr1	59029458	59031081	1623	chr1	59030224	59030324	Trak2	-	72981	0
chr1	59176324	59177682	1358	chr1	59177153	59177253	Als2cr4	-	19765	0
chr1	59293298	59295227	1929	chr1	59294025	59294125	Als2	-	74305	0
chr1	59537811	59540113	2302	chr1	59538941	59539041	Fzd7	+	4800	0
chr1	59740789	59742695	1906	chr1	59741803	59741903	Nop58	+	27115	0
chr1	59819040	59822011	2971	chr1	59821431	59821531	Bmpr2	+	106222	0
chr1	60399767	60401169	1402	chr1	60400117	60400217	Cyp20a1	+	44737	0
chr1	60622784	60623907	1123	chr1	60623898	60623998	Raph1	-	83868	0
chr1	60955010	60957813	2803	chr1	60957692	60957792	Rpl18-ps1	+	524	0
chr1	61684937	61686159	1222	chr1	61685348	61685448	Pard3b	+	1003460	0
chr1	62749110	62752016	2906	chr1	62749809	62749909	Nrp2	+	115410	0
chr1	63159922	63160987	1065	chr1	63160995	63161095	Gm11602	+	43819	8
chr1	64124388	64126338	1950	chr1	64125178	64125278	Gm13748	+	12128	0
chr1	64167372	64169163	1791	chr1	64168806	64168906	Klf7	-	92835	0
chr1	64736422	64738352	1930	chr1	64737183	64737283	2810408I11Rik	-	10788	0
chr1	64782507	64784484	1977	chr1	64784274	64784374	Fzd5	-	7190	0
chr1	65002669	65004177	1508	chr1	65003348	65003448	Plekhm3	-	170841	0
chr1	65232240	65234084	1844	chr1	65233003	65233103	Idh1	-	27863	0
chr1	66861121	66864524	3403	chr1	66864119	66864219	1110028C15Rik	-	98352	0
chr1	66908646	66910254	1608	chr1	66909801	66909901	Acadl	-	32438	0
chr1	67084723	67086197	1474	chr1	67085396	67085496	Lancl1	-	38355	0
chr1	71147520	71150539	3019	chr1	71149670	71149770	Bard1	-	75648	0
chr1	72272025	72273702	1677	chr1	72272764	72272864	U2	+	190	0
chr1	72282692	72285367	2675	chr1	72282989	72283089	D230017M19Rik	+	38404	0
chr1	72290106	72291161	1055	chr1	72290737	72290837	AC120136.1	+	190	0
chr1	72300923	72302922	1999	chr1	72301532	72301632	AC120136.3	+	190	0
chr1	72330118	72331230	1112	chr1	72330838	72330938	Pecr	-	25147	0
chr1	72353340	72354391	1051	chr1	72353945	72354045	Xrcc5	+	87531	0
chr1	72628953	72630564	1611	chr1	72629775	72629875	Smarcal1	+	49883	0
chr1	74282270	74284033	1763	chr1	74283021	74283121	Arpc2	+	31712	0
chr1	74330093	74332429	2336	chr1	74331204	74331304	Aamp	-	4833	0
chr1	74551705	74554003	2298	chr1	74552582	74552682	Rqcd1	+	24786	0
chr1	74633578	74636020	2442	chr1	74634770	74634870	Zfp142	-	23119	0
chr1	74647249	74648351	1102	chr1	74647921	74648021	Rnf25	-	7649	0
chr1	75164501	75166477	1976	chr1	75165170	75165270	Zfand2b	+	2983	0
chr1	75175028	75177709	2681	chr1	75176916	75177016	Abcb6	-	8675	0
chr1	75187634	75189510	1876	chr1	75188447	75188547	Atg9a	-	11057	0
chr1	75206660	75208149	1489	chr1	75207303	75207403	Glb1l	-	12535	0
chr1	75214732	75215895	1163	chr1	75215778	75215878	Tuba4a	-	4279	0
chr1	75231289	75233768	2479	chr1	75232990	75233090	Dnajb2	+	8339	0
chr1	75313239	75314290	1051	chr1	75314162	75314262	Dnpep	-	9741	0
chr1	75432177	75433282	1105	chr1	75432455	75432555	Gmppa	+	7249	0
chr1	75475049	75476398	1349	chr1	75475996	75476096	Chpf	-	4902	0
chr1	75517799	75518879	1080	chr1	75518054	75518154	Stk11ip	+	15806	0
chr1	75542687	75543687	1000	chr1	75542791	75542891	Slc4a3	+	15906	0
chr1	79667152	79668853	1701	chr1	79668497	79668597	Ap1s3	-	65096	0
