chrom	start	end	length	chrom_	start_	end_	gene_name_	strand_	gene_len_	distance
chr1	7066405	7069093	2688	chr1	7079001	7163707	Pcmtd1	+	84706	9908
chr1	9628528	9630162	1634	chr1	9550913	9621256	2610203C22Rik	-	70343	7272
chr1	12992303	12993303	1000	chr1	12856630	12981258	Slco5a1	-	124628	11045
chr1	13041947	13043066	1119	chr1	13103538	13117244	Prdm14	-	13706	60472
chr1	13372758	13374812	2054	chr1	13129186	13364164	Ncoa2	-	234978	8594
chr1	13375170	13376230	1060	chr1	13129186	13364164	Ncoa2	-	234978	11006
chr1	13415479	13417770	2291	chr1	13129186	13364164	Ncoa2	-	234978	51315
chr1	13503662	13505101	1439	chr1	13554783	13579945	Tram1	-	25162	49682
chr1	13588833	13589894	1061	chr1	13554783	13579945	Tram1	-	25162	8888
chr1	13741792	13744557	2765	chr1	13764415	13764545	SNORA17	-	130	19858
chr1	13776447	13780172	3725	chr1	13764415	13764545	SNORA17	-	130	11902
chr1	14094563	14095563	1000	chr1	14159035	14300281	Eya1	-	141246	63472
chr1	14133767	14134869	1102	chr1	14159035	14300281	Eya1	-	141246	24166
chr1	14152210	14153210	1000	chr1	14159035	14300281	Eya1	-	141246	5825
chr1	14976476	14978654	2178	chr1	15009121	15009240	SNORA17	-	119	30467
chr1	14984752	14986338	1586	chr1	15009121	15009240	SNORA17	-	119	22783
chr1	14987501	14989345	1844	chr1	15009121	15009240	SNORA17	-	119	19776
chr1	15231640	15233766	2126	chr1	15258880	15259878	Gm10566	-	998	25114
chr1	16523160	16524494	1334	chr1	16218755	16510193	Stau2	-	291438	12967
chr1	16529270	16531479	2209	chr1	16218755	16510193	Stau2	-	291438	19077
chr1	16541793	16543899	2106	chr1	16559863	16609570	Ube2w	-	49707	15964
chr1	16748070	16749853	1783	chr1	16757095	16760241	Gm5828	-	3146	7242
chr1	21298561	21299561	1000	chr1	21275327	21288393	Gm4956	-	13066	10168
chr1	21322900	21324947	2047	chr1	21339722	21342281	Khdc1a	+	2559	14775
chr1	23406071	23407071	1000	chr1	23373263	23390014	Ogfrl1	-	16751	16057
chr1	23727092	23728254	1162	chr1	23768592	23855997	B3gat2	+	87405	40338
chr1	30848174	30851017	2843	chr1	30859187	30930539	Phf3	-	71352	8170
chr1	30954823	30956618	1795	chr1	30859187	30930539	Phf3	-	71352	24284
chr1	34541751	34543096	1345	chr1	34516591	34532499	Ptpn18	+	15908	9252
chr1	34567044	34568124	1080	chr1	34555275	34559907	Prss39	+	4632	7137
chr1	35866962	35868941	1979	chr1	35818447	35818551	U6	+	104	48411
chr1	35869169	35870224	1055	chr1	35818447	35818551	U6	+	104	50618
chr1	35881932	35884550	2618	chr1	35818447	35818551	U6	+	104	63381
chr1	35916999	35920216	3217	chr1	35818447	35818551	U6	+	104	98448
chr1	35991829	35992829	1000	chr1	36125245	36163291	Hs6st1	+	38046	132416
chr1	36037460	36039236	1776	chr1	36125245	36163291	Hs6st1	+	38046	86009
chr1	36108351	36111351	3000	chr1	36125245	36163291	Hs6st1	+	38046	13894
chr1	36184898	36187009	2111	chr1	36198375	36301150	Uggt1	-	102775	11366
